Term,Definition
"What is the main subject of Chapter 24 in 'Biochemistry: Concepts & Connections'?","Transcription & Processing"
"Who are the authors of 'Biochemistry: Concepts & Connections'?","Appling, Anthony-Cahill, Mathews"
"What chapter should be read and reviewed?","Chapter 24"
"What is the focus of Chapter 24?","Select Topics"
"What is the next chapter to study?","Chapter 25"
"What is the topic of Chapter 25?","Translation"
"How many Nobel prizes have been awarded for work on RNA?","More than 20 Nobel prizes."
"What are the chemical properties of RNA compared to DNA?","RNA has different chemical properties than DNA and is typically single-stranded."
"What is a significant discovery about RNA from the 1950s?","RNA polymerase from E. coli was discovered in the 1950s."
"Who discovered that RNA can serve as catalysts?","Cech and Altman."
"What percentage of genetic diseases involve RNA splicing?","15% of all genetic diseases."
"What is transcription?","Transcription is the synthesis of an RNA transcript with the transfer of sequence information from a DNA template."
"List the key processes involved in RNA synthesis.","1. Types of RNA, 2. Mechanism of RNA polymerase, 3. Promoter binding and initiation of transcription, 4. Elongation of the transcript and termination of transcription, 5. RNA processing."
"What are the two main steps in DNA expression?","1. RNA copy (mRNA) encoding directions for protein synthesis, 2. mRNA is translated to synthesize functional proteins."
"What is the role of Messenger RNA (mRNA)?","It serves as a template for protein synthesis (translation)."
"How is mRNA production different in prokaryotes and eukaryotes?","In prokaryotes, one mRNA is produced for each gene or groups of genes, while in eukaryotes, one distinct mRNA is produced for each gene."
"What regulates eukaryote mRNA function and lifetime?","Structural features of the mRNA."
"What is the function of transfer RNA (tRNA)?","tRNA carries activated amino acids to the ribosome for peptide bond formation using mRNA as a template."
"How many types of tRNA are there?","There is at least one tRNA for each of the 20 amino acids."
"How many nucleotides does tRNA consist of?","tRNA consists of about 75 - 90 nucleotides."
"What is ribosomal RNA (rRNA)?","rRNA is a ribonucleoprotein and a major component of the ribosome."
"What is the function of rRNA?","rRNA catalyzes peptide synthesis."
"What are the two major components of rRNA?","The small component reads the RNA and the large component joins amino acids to the growing peptide chain."
"Which type of RNA is the most abundant?","rRNA is the most abundant, followed by tRNA, with mRNA being the least abundant."
"What percentage of total RNA in eukaryotes does mRNA constitute?","mRNA constitutes only 5% of total RNA in eukaryotes."
"What is the role of small nuclear RNA (snRNA)?","Participates in splicing of RNA exons in the spliceosome."
"What is the function of micro RNA (miRNA)?","Noncoding RNA that binds to complementary mRNA molecules and inhibits their translation."
"What does small interfering RNA (siRNA) do?","Binds to mRNA and facilitates its degradation."
"What is the process of synthesizing messenger RNA (mRNA) from DNA called?","Transcription"
"Which enzyme catalyzes the initiation and elongation of RNA during transcription?","RNA polymerase"
"What does RNA polymerase search for to initiate transcription?","Promoter sites"
"What must happen to double-stranded DNA (dsDNA) to produce a single-stranded DNA (ssDNA) template?","It must be unwound"
"What is selected during transcription to form RNA?","The correct RNA nucleotide"
"What type of bond formation does RNA polymerase catalyze during transcription?","Phosphodiester bond"
"What is the nature of RNA polymerase action during transcription?","Processive action"
"What does RNA polymerase detect to signal the end of transcription?","Termination signals"
"Which proteins interact with RNA polymerase to modulate the rate of transcription initiation?","Activator and repressor proteins"
"What is the process of synthesizing RNA from DNA called?","Transcription"
"What enzyme catalyzes the initiation and elongation of RNA?","RNA polymerase"
"What is the role of RNA polymerase in transcription?","It catalyzes the initiation and elongation of RNA."
"What are promoter sites?","Initiation sites for RNA synthesis that RNA polymerase searches for."
"What happens to double-stranded DNA during transcription?","It is unwound to produce a single-stranded DNA template for reading."
"What does RNA polymerase do after unwinding DNA?","Selects the correct RNA nucleotide and catalyzes the formation of phosphodiester bonds."
