Term,Definition
"What are the key components of the general secretion pathway in bacteria?","Sec system, SRP, and TAT pathway"
"What is the function of Type 1 secretion system in bacteria?","Transports substances across both the inner and outer membranes"
"How does the Type 2 secretion system function?","Involves pili assembly and the main terminal branch"
"What is unique about the Type 3 secretion system?","It transports substances across both the inner and outer membranes"
"What is the role of Type 4 secretion systems?","Dedicated transport systems"
"What are Type 5 secretion systems known as?","Autotransporters"
"Which secretion system is referred to as 'the new kid on the block'?","Type 6 secretion system"
"How do Gram positive bacteria tether secreted proteins to their outer surface?","Through specific Gram positive systems"
"What is the function of the Type VII secretion system?","Delivers proteins into host cells and across the waxy wall of Mycobacteria"
"Where do many proteins fold in bacterial cells?","In the periplasm."
"Where are disulfide bonds formed in bacterial cells?","In the periplasm."
"What energy sources are not present at the outer membrane of bacterial cells?","ATP and proton motive force."
"What is the theoretical diameter of pores in the peptidoglycan layer?","2 nm."
"What size of globular proteins can theoretically pass through a 2 nm pore in the peptidoglycan layer?","Globular proteins of about 50-100 kD."
"How many pathway types have evolved for secretion?","Six pathway types have evolved."
"What is the function of the Sec pathway in secretion?","The Sec pathway is used for export across the inner membrane."
"Which secretion types use the Sec pathway for inner membrane export but have a distinct mechanism for outer membrane translocation?","Type II and Type V."
"Which secretion types move substrate proteins across both membranes in a single step?","Type I, Type III, Type IV, and Type VI."
"What is considered a bigger challenge in secretion?","Secretion across the outer membrane."
"What is Type I protein transport?","Moves substrate proteins across both membranes in a single step."
"Is Type I transport Sec-dependent or Sec-independent?","Sec-independent."
"Where is the signal sequence located in Type I transport?","In the C terminus."
"What type of proteins does Type I transport handle?","Slow folding proteins."
"What is the energy source for Type I transport?","ATP."
"What is the main topic discussed in the slide?","Transport systems in bacteria"
"What is the novel strategy for getting substances to the outside?","Crossing both membranes at once using ATP-binding cassette (ABC) protein exporters."
"What is another name for ATP-binding cassette (ABC) protein exporters?","Type I secretion pathway."
"What is the maximum size of proteins that can be secreted by ABC protein exporters?","Proteins up to 800 KDa."
"Do ABC protein exporters require the Sec pathway?","No, they are independent of Sec."
"Do ABC protein exporters have periplasmic intermediates?","No, there are no periplasmic intermediates."
"What are some substrates of ABC protein exporters?","Substrates include toxins, proteases, lipases, and antibiotics."
"What are the three proteins involved in the ABC protein exporter apparatus?","IM ABC exporter, Membrane fusion protein (MFP), and OM protein."
"What is the role of the IM ABC exporter in the ABC protein exporter apparatus?","It supplies energy for translocation."
"What is the function of the Membrane Fusion Protein (MFP) in the ABC protein exporter apparatus?","It spans the periplasm."
"What is a characteristic of the MFP and OM protein in the ABC protein exporter apparatus?","They are trimers."
"Is it clear whether substrate binding triggers the association of the ABC exporter and MFP?","No, it is unclear whether substrate binding triggers the association or if they are pre-associated."
"What are the components of the alpha-hemolysin (HlyA) secretion system in uropathogenic E. coli?","HlyB is the ABC transporter, HlyD is the MFP, and TolC is the OMP."
"What dual role does TolC serve in bacterial systems?","TolC doubles as part of the multi-drug efflux pump."
"In the multi-drug efflux pump, what are the roles of AcrA and AcrB?","AcrA is the MFP and AcrB is the ABC transporter."
"How does the substrate engage the secretion machinery in the cytoplasm?","Via a C terminal signal sequence."
"How do proteins know to use the ABC transporter rather than Sec, SRP, or TAT?","The rapid folding of substrate in the cytoplasm may be prevented by interaction with the cytoplasmic chaperone SecB."
"How do secreted proteins bind to the ABC transporter?","Secreted proteins bind to the ABC transporter via a C terminal secretion signal and a preceding glycine-rich repeat motif GGXGXD, which can be repeated up to 36 times."
"What role do glycines play in the ABC transporter system?","The glycines bind Ca2+ in the extracellular space, which triggers protein folding."
"Is the motif removed during secretion in the ABC transporter system?","No, the motif is not removed during secretion."
